Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D220,0.412,0.386,0.171,0.028,0.955,0.828,0.136,0.119,0.1,0.089,0.45,0.178,0.1,0.987,0.988,0.989,0.767,0.945,0.03,0.024,0.8,0.001,0.002
D221,0.345,0.608,0.2,0.006,0.703,0.254,0.075,0.143,0.113,0.022,0.376,0.04,0.03,0.613,0.913,0.989,0.749,0.949,0.03,0.022,0.75,0.0,0.0
D222,0.376,0.575,0.195,0.02,0.845,0.615,0.068,0.143,0.1,0.031,0.384,0.063,0.03,0.739,0.962,0.991,0.764,0.956,0.03,0.022,0.75,0.0,0.0
D223,0.404,0.572,0.24,0.025,0.89,0.667,0.102,0.172,0.11,0.064,0.428,0.124,0.078,0.887,0.98,0.992,0.795,0.956,0.03,0.022,0.75,0.002,0.006
D224,0.437,0.685,0.321,0.047,0.97,0.848,0.147,0.204,0.191,0.09,0.443,0.182,0.09,0.963,0.988,0.987,0.712,0.936,0.03,0.022,0.75,0.005,0.013
D225,0.171,0.018,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.144,0.0,0.0,0.013,0.503,0.951,0.529,0.872,0.015,0.01,0.7,0.0,0.001
D226,0.261,0.029,0.014,0.26,0.748,0.584,0.018,0.004,0.007,0.005,0.189,0.012,0.003,0.067,0.777,0.938,0.503,0.856,0.015,0.01,0.7,0.0,0.0
D227,0.338,0.114,0.06,0.313,0.951,0.869,0.176,0.046,0.051,0.04,0.358,0.091,0.046,0.358,0.966,0.935,0.504,0.827,0.015,0.01,0.7,0.001,0.001
D228,0.38,0.211,0.116,0.358,0.99,0.939,0.294,0.088,0.085,0.078,0.398,0.152,0.11,0.603,0.987,0.948,0.518,0.859,0.015,0.009,0.6,0.0,0.001
D229,0.176,0.028,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.178,0.0,0.0,0.016,0.732,0.947,0.447,0.893,0.015,0.009,0.6,0.0,0.0
D23,0.449,0.643,0.403,0.009,0.89,0.555,0.128,0.263,0.224,0.182,0.471,0.346,0.137,0.997,0.99,0.986,0.812,0.885,0.06,0.051,0.85,0.0,0.001
D230,0.186,0.032,0.016,0.003,0.058,0.0,0.005,0.003,0.001,0.003,0.192,0.003,0.0,0.055,0.768,0.954,0.473,0.902,0.015,0.009,0.6,0.001,0.003
D231,0.323,0.119,0.062,0.156,0.891,0.794,0.157,0.042,0.042,0.041,0.344,0.076,0.042,0.378,0.964,0.959,0.504,0.909,0.015,0.009,0.6,0.0,0.0
D232,0.377,0.224,0.123,0.315,0.966,0.888,0.262,0.091,0.087,0.089,0.394,0.172,0.087,0.601,0.986,0.963,0.501,0.914,0.015,0.009,0.6,0.001,0.003
D233,0.177,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.155,0.0,0.0,0.016,0.529,0.961,0.635,0.912,0.015,0.009,0.6,0.0,0.0
D234,0.225,0.051,0.014,0.007,0.234,0.006,0.011,0.004,0.007,0.004,0.202,0.006,0.007,0.076,0.704,1.0,1.0,0.991,0.015,0.009,0.6,0.0,0.0
D235,0.33,0.15,0.071,0.074,0.901,0.796,0.159,0.057,0.064,0.049,0.357,0.099,0.06,0.358,0.965,0.966,0.644,0.875,0.015,0.009,0.6,0.001,0.002
D236,0.414,0.303,0.165,0.137,0.957,0.867,0.285,0.122,0.13,0.107,0.412,0.227,0.121,0.681,0.99,0.999,1.0,0.974,0.015,0.009,0.6,0.001,0.003
D237,0.212,0.509,0.068,0.016,0.609,0.0,0.011,0.024,0.009,0.002,0.155,0.0,0.022,0.039,0.783,0.905,0.33,0.856,0.015,0.004,0.3,0.0,0.0
D238,0.254,0.534,0.068,0.14,0.842,0.401,0.02,0.022,0.01,0.009,0.17,0.013,0.019,0.082,0.87,0.9,0.321,0.851,0.015,0.004,0.3,0.0,0.0
D239,0.333,0.613,0.127,0.204,0.928,0.776,0.109,0.082,0.067,0.049,0.351,0.096,0.067,0.396,0.972,0.923,0.374,0.871,0.015,0.004,0.3,0.001,0.002
D24,0.471,0.689,0.478,0.008,0.857,0.588,0.162,0.29,0.266,0.199,0.474,0.397,0.215,0.997,0.991,0.991,0.852,0.938,0.06,0.051,0.85,0.001,0.002
D240,0.38,0.652,0.207,0.31,0.964,0.834,0.19,0.124,0.109,0.096,0.401,0.194,0.128,0.639,0.988,0.935,0.387,0.874,0.015,0.004,0.3,0.001,0.002
D241,0.209,0.017,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.26,0.0,0.0,0.055,0.507,0.997,0.932,0.966,0.03,0.024,0.8,0.0,0.0
D242,0.235,0.024,0.012,0.028,0.318,0.007,0.0,0.0,0.0,0.004,0.307,0.009,0.007,0.142,0.759,0.989,0.772,0.934,0.03,0.024,0.8,0.0,0.0
D243,0.381,0.114,0.06,0.049,0.915,0.794,0.166,0.046,0.033,0.041,0.422,0.085,0.043,0.875,0.967,0.998,0.946,0.978,0.03,0.024,0.8,0.0,0.0
D244,0.39,0.174,0.092,0.069,0.922,0.803,0.218,0.072,0.06,0.047,0.429,0.1,0.073,0.927,0.975,0.992,0.825,0.942,0.03,0.024,0.8,0.004,0.01
D245,0.209,0.029,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.294,0.001,0.0,0.079,0.743,0.983,0.707,0.939,0.03,0.022,0.75,0.0,0.0
D246,0.249,0.04,0.02,0.007,0.522,0.0,0.015,0.006,0.003,0.007,0.31,0.012,0.013,0.266,0.809,0.986,0.713,0.947,0.03,0.022,0.75,0.0,0.0
D247,0.354,0.106,0.053,0.026,0.87,0.754,0.125,0.042,0.048,0.031,0.409,0.06,0.043,0.833,0.963,0.984,0.698,0.934,0.03,0.022,0.75,0.0,0.001
D248,0.409,0.256,0.142,0.044,0.979,0.849,0.283,0.099,0.079,0.087,0.442,0.181,0.079,0.963,0.986,0.991,0.772,0.954,0.03,0.022,0.75,0.0,0.001
D249,0.197,0.04,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.275,0.0,0.0,0.052,0.539,0.982,0.737,0.906,0.03,0.022,0.75,0.0,0.001
D25,0.46,0.688,0.419,0.008,0.937,0.609,0.139,0.278,0.269,0.155,0.465,0.299,0.155,0.988,0.989,0.991,0.823,0.937,0.06,0.051,0.85,0.0,0.0
D250,0.253,0.057,0.016,0.002,0.457,0.0,0.005,0.006,0.001,0.007,0.336,0.012,0.003,0.352,0.746,0.99,0.84,0.924,0.03,0.022,0.75,0.0,0.0
D251,0.374,0.141,0.062,0.034,0.918,0.707,0.131,0.049,0.054,0.042,0.424,0.085,0.045,0.887,0.971,0.996,0.906,0.964,0.03,0.022,0.75,0.0,0.0
D252,0.415,0.28,0.138,0.034,0.955,0.827,0.213,0.106,0.113,0.085,0.446,0.169,0.104,0.97,0.986,0.997,0.931,0.968,0.03,0.022,0.75,0.001,0.002
D253,0.253,0.535,0.062,0.002,0.551,0.0,0.006,0.021,0.006,0.002,0.263,0.0,0.022,0.16,0.791,0.981,0.636,0.933,0.03,0.016,0.55,0.0,0.0
D254,0.313,0.518,0.066,0.028,0.845,0.506,0.014,0.022,0.009,0.012,0.287,0.019,0.027,0.424,0.9,0.985,0.683,0.944,0.03,0.016,0.55,0.0,0.0
D255,0.362,0.508,0.112,0.04,0.89,0.658,0.075,0.064,0.058,0.047,0.404,0.093,0.081,0.754,0.961,0.985,0.679,0.949,0.03,0.016,0.55,0.002,0.006
D256,0.403,0.627,0.174,0.059,0.967,0.848,0.148,0.113,0.093,0.086,0.436,0.167,0.101,0.922,0.986,0.978,0.618,0.936,0.03,0.016,0.55,0.005,0.013
D257,0.396,0.601,0.41,0.018,0.64,0.519,0.122,0.208,0.175,0.139,0.424,0.271,0.146,0.734,0.991,0.979,0.61,0.908,0.007,0.006,0.8,0.0,0.001
D258,0.394,0.59,0.394,0.026,0.637,0.528,0.117,0.216,0.154,0.136,0.425,0.261,0.159,0.744,0.992,0.976,0.592,0.901,0.007,0.006,0.8,0.0,0.0
D259,0.448,0.649,0.457,0.147,0.934,0.899,0.131,0.242,0.213,0.154,0.435,0.303,0.172,0.84,0.996,0.974,0.591,0.897,0.007,0.006,0.8,0.0,0.001
D26,0.452,0.641,0.41,0.005,0.899,0.552,0.155,0.281,0.215,0.149,0.464,0.296,0.152,0.979,0.988,0.99,0.86,0.934,0.06,0.051,0.85,0.001,0.001
D260,0.475,0.716,0.535,0.164,0.969,0.934,0.152,0.278,0.251,0.183,0.447,0.366,0.23,0.881,0.997,0.983,0.636,0.916,0.007,0.006,0.8,0.001,0.002
D261,0.436,0.564,0.387,0.069,0.9,0.836,0.163,0.257,0.195,0.157,0.434,0.313,0.196,0.806,0.994,0.978,0.621,0.904,0.007,0.006,0.8,0.0,0.0
D262,0.451,0.608,0.426,0.091,0.947,0.883,0.173,0.275,0.224,0.167,0.437,0.323,0.206,0.82,0.995,0.98,0.645,0.914,0.007,0.006,0.8,0.0,0.0
D263,0.468,0.639,0.464,0.219,0.98,0.939,0.191,0.286,0.243,0.165,0.441,0.328,0.193,0.863,0.996,0.982,0.644,0.912,0.007,0.006,0.8,0.0,0.001
D264,0.485,0.703,0.53,0.2,0.978,0.928,0.21,0.301,0.264,0.195,0.45,0.381,0.253,0.901,0.997,0.984,0.654,0.927,0.007,0.006,0.8,0.001,0.002
D265,0.461,0.74,0.561,0.113,0.946,0.891,0.211,0.323,0.268,0.156,0.435,0.325,0.195,0.801,0.996,0.973,0.593,0.904,0.007,0.005,0.7,0.0,0.0
D266,0.46,0.729,0.532,0.123,0.949,0.884,0.201,0.322,0.276,0.156,0.434,0.303,0.191,0.825,0.996,0.975,0.599,0.91,0.007,0.005,0.7,0.0,0.0
D267,0.471,0.73,0.548,0.167,0.979,0.929,0.213,0.313,0.26,0.172,0.44,0.342,0.202,0.86,0.997,0.976,0.601,0.909,0.007,0.005,0.7,0.0,0.001
D268,0.493,0.816,0.637,0.263,0.985,0.933,0.228,0.343,0.312,0.186,0.446,0.356,0.252,0.891,0.997,0.975,0.603,0.91,0.007,0.005,0.7,0.0,0.001
D269,0.505,0.927,0.778,0.138,0.987,0.942,0.272,0.381,0.344,0.153,0.435,0.293,0.222,0.846,0.996,0.985,0.65,0.939,0.007,0.006,0.8,0.0,0.001
D27,0.474,0.739,0.53,0.017,0.925,0.621,0.186,0.307,0.275,0.175,0.471,0.34,0.158,0.997,0.99,0.989,0.814,0.939,0.06,0.051,0.85,0.0,0.001
D270,0.501,0.91,0.734,0.118,0.984,0.945,0.27,0.368,0.338,0.155,0.433,0.301,0.231,0.828,0.996,0.987,0.677,0.937,0.007,0.006,0.8,0.001,0.002
D271,0.505,0.906,0.774,0.144,0.988,0.957,0.282,0.381,0.31,0.165,0.439,0.331,0.231,0.857,0.997,0.982,0.633,0.925,0.007,0.006,0.8,0.0,0.0
D272,0.524,0.949,0.85,0.154,0.992,0.964,0.301,0.407,0.377,0.179,0.447,0.351,0.278,0.901,0.997,0.986,0.652,0.932,0.007,0.006,0.8,0.0,0.001
D273,0.43,0.595,0.391,0.01,0.629,0.44,0.12,0.21,0.16,0.176,0.471,0.351,0.183,0.991,0.997,0.997,0.902,0.961,0.015,0.013,0.85,0.0,0.0
D274,0.466,0.606,0.41,0.046,0.942,0.85,0.125,0.216,0.167,0.175,0.472,0.341,0.188,0.997,0.997,0.996,0.871,0.968,0.015,0.013,0.85,0.0,0.0
D275,0.48,0.662,0.459,0.025,0.969,0.897,0.148,0.251,0.213,0.186,0.474,0.372,0.179,0.996,0.998,0.998,0.902,0.964,0.015,0.013,0.85,0.0,0.001
D276,0.494,0.712,0.524,0.059,0.992,0.91,0.158,0.262,0.245,0.202,0.476,0.387,0.19,0.999,0.998,0.997,0.905,0.967,0.015,0.013,0.85,0.001,0.001
D277,0.457,0.575,0.396,0.027,0.8,0.722,0.166,0.24,0.226,0.176,0.471,0.348,0.179,0.992,0.997,0.998,0.892,0.972,0.015,0.013,0.85,0.0,0.001
D278,0.469,0.585,0.4,0.034,0.907,0.838,0.168,0.257,0.204,0.18,0.472,0.36,0.169,0.993,0.997,0.998,0.907,0.971,0.015,0.013,0.85,0.0,0.0
D279,0.481,0.598,0.419,0.04,0.967,0.893,0.179,0.257,0.206,0.194,0.474,0.376,0.2,0.996,0.998,0.998,0.93,0.983,0.015,0.013,0.85,0.0,0.0
D28,0.481,0.763,0.511,0.024,0.955,0.636,0.181,0.331,0.269,0.167,0.469,0.334,0.197,0.994,0.99,0.992,0.844,0.95,0.06,0.051,0.85,0.003,0.009
D280,0.506,0.729,0.56,0.07,0.984,0.926,0.224,0.31,0.254,0.204,0.477,0.402,0.216,0.998,0.998,0.999,0.939,0.975,0.015,0.013,0.85,0.0,0.0
D281,0.485,0.731,0.523,0.025,0.942,0.854,0.2,0.309,0.27,0.171,0.468,0.335,0.192,0.991,0.997,0.995,0.832,0.955,0.015,0.013,0.85,0.0,0.0
D282,0.486,0.725,0.526,0.03,0.958,0.869,0.194,0.311,0.279,0.18,0.469,0.333,0.18,0.993,0.997,0.995,0.824,0.95,0.015,0.013,0.85,0.0,0.0
D283,0.488,0.747,0.552,0.055,0.966,0.873,0.203,0.332,0.261,0.179,0.472,0.351,0.195,0.994,0.998,0.991,0.756,0.938,0.015,0.013,0.85,0.0,0.0
D284,0.514,0.821,0.658,0.055,0.984,0.919,0.238,0.368,0.348,0.213,0.475,0.407,0.223,0.997,0.998,0.992,0.783,0.951,0.015,0.013,0.85,0.0,0.001
D285,0.525,0.912,0.741,0.025,0.991,0.927,0.26,0.38,0.346,0.184,0.473,0.369,0.199,0.993,0.997,0.998,0.905,0.977,0.015,0.013,0.85,0.0,0.0
D286,0.53,0.938,0.799,0.025,0.984,0.922,0.275,0.384,0.372,0.189,0.474,0.378,0.218,0.996,0.998,0.996,0.866,0.969,0.015,0.013,0.85,0.0,0.001
D287,0.531,0.934,0.798,0.024,0.966,0.89,0.276,0.399,0.37,0.2,0.475,0.401,0.216,0.997,0.998,0.997,0.879,0.973,0.015,0.013,0.85,0.0,0.0
D288,0.537,0.94,0.793,0.054,0.987,0.93,0.271,0.383,0.354,0.215,0.478,0.424,0.26,0.996,0.998,0.998,0.895,0.965,0.015,0.013,0.85,0.001,0.002
D289,0.307,0.263,0.144,0.008,0.56,0.294,0.028,0.056,0.032,0.07,0.374,0.138,0.047,0.5,0.964,0.972,0.587,0.894,0.007,0.006,0.8,0.0,0.001
D29,0.505,0.921,0.691,0.023,0.967,0.713,0.216,0.328,0.266,0.184,0.474,0.328,0.17,1.0,0.992,0.994,0.931,0.949,0.06,0.051,0.85,0.001,0.002
D290,0.315,0.255,0.138,0.017,0.596,0.449,0.029,0.057,0.029,0.072,0.375,0.138,0.056,0.512,0.966,0.969,0.571,0.89,0.007,0.006,0.8,0.0,0.0
D291,0.386,0.347,0.201,0.109,0.953,0.912,0.079,0.113,0.097,0.101,0.408,0.204,0.084,0.667,0.991,0.968,0.567,0.885,0.007,0.006,0.8,0.0,0.001
D292,0.424,0.44,0.273,0.193,0.984,0.949,0.126,0.15,0.144,0.138,0.428,0.272,0.124,0.799,0.995,0.979,0.614,0.906,0.007,0.006,0.8,0.001,0.002
D293,0.333,0.247,0.139,0.026,0.719,0.487,0.057,0.107,0.058,0.068,0.379,0.131,0.049,0.501,0.974,0.985,0.649,0.929,0.007,0.006,0.8,0.0,0.0
D294,0.365,0.271,0.154,0.082,0.893,0.821,0.066,0.113,0.073,0.078,0.383,0.149,0.06,0.534,0.977,0.984,0.65,0.932,0.007,0.006,0.8,0.0,0.0
D295,0.401,0.338,0.202,0.231,0.964,0.919,0.122,0.135,0.102,0.09,0.407,0.187,0.104,0.652,0.992,0.986,0.65,0.928,0.007,0.006,0.8,0.0,0.001
D296,0.429,0.445,0.282,0.215,0.972,0.923,0.175,0.181,0.117,0.13,0.426,0.251,0.147,0.75,0.995,0.989,0.683,0.944,0.007,0.006,0.8,0.001,0.002
D297,0.389,0.415,0.239,0.086,0.932,0.849,0.116,0.184,0.132,0.108,0.412,0.224,0.097,0.66,0.993,0.964,0.545,0.887,0.007,0.005,0.7,0.0,0.0
D298,0.389,0.41,0.228,0.096,0.928,0.839,0.105,0.175,0.119,0.106,0.407,0.206,0.093,0.661,0.992,0.973,0.593,0.908,0.007,0.005,0.7,0.0,0.0
D299,0.416,0.451,0.269,0.156,0.978,0.915,0.138,0.206,0.137,0.134,0.422,0.264,0.135,0.744,0.995,0.976,0.599,0.91,0.007,0.005,0.7,0.0,0.001
D3,0.456,0.753,0.527,0.134,0.937,0.833,0.191,0.313,0.299,0.154,0.431,0.269,0.167,0.803,0.984,0.95,0.566,0.872,0.03,0.024,0.8,0.0,0.001
D30,0.504,0.929,0.65,0.01,0.97,0.63,0.198,0.331,0.313,0.184,0.471,0.349,0.233,1.0,0.992,0.995,0.915,0.959,0.06,0.051,0.85,0.0,0.001
D300,0.445,0.571,0.363,0.255,0.985,0.928,0.182,0.234,0.174,0.151,0.434,0.29,0.163,0.846,0.997,0.976,0.607,0.912,0.007,0.005,0.7,0.0,0.001
D301,0.447,0.793,0.511,0.091,0.957,0.884,0.201,0.307,0.266,0.088,0.392,0.166,0.116,0.649,0.982,0.989,0.669,0.951,0.007,0.006,0.8,0.0,0.001
D302,0.439,0.77,0.487,0.089,0.973,0.893,0.203,0.299,0.237,0.083,0.391,0.159,0.115,0.637,0.982,0.983,0.625,0.926,0.007,0.006,0.8,0.001,0.002
D303,0.456,0.789,0.545,0.104,0.979,0.93,0.22,0.306,0.257,0.105,0.412,0.212,0.161,0.701,0.993,0.98,0.6,0.924,0.007,0.006,0.8,0.0,0.0
D304,0.488,0.861,0.649,0.156,0.985,0.955,0.251,0.345,0.291,0.143,0.431,0.285,0.207,0.795,0.996,0.986,0.645,0.93,0.007,0.006,0.8,0.0,0.001
D305,0.351,0.254,0.136,0.005,0.547,0.237,0.03,0.059,0.028,0.098,0.45,0.195,0.069,0.934,0.989,0.996,0.863,0.956,0.015,0.013,0.85,0.0,0.0
D306,0.4,0.273,0.149,0.03,0.916,0.783,0.039,0.066,0.037,0.101,0.451,0.198,0.072,0.969,0.991,0.997,0.876,0.969,0.015,0.013,0.85,0.0,0.0
D307,0.43,0.362,0.207,0.029,0.97,0.901,0.097,0.125,0.092,0.134,0.46,0.263,0.119,0.986,0.995,0.997,0.88,0.96,0.015,0.013,0.85,0.0,0.001
D308,0.451,0.45,0.277,0.058,0.992,0.908,0.138,0.169,0.152,0.148,0.466,0.285,0.142,0.994,0.997,0.997,0.898,0.965,0.015,0.013,0.85,0.001,0.001
D309,0.378,0.248,0.14,0.014,0.726,0.576,0.057,0.101,0.058,0.086,0.445,0.166,0.059,0.918,0.987,0.998,0.896,0.972,0.015,0.013,0.85,0.0,0.001
D31,0.507,0.917,0.62,0.014,0.97,0.707,0.195,0.322,0.316,0.203,0.473,0.403,0.179,0.994,0.992,0.996,0.935,0.958,0.06,0.051,0.85,0.0,0.0
D310,0.398,0.265,0.15,0.026,0.869,0.781,0.067,0.108,0.061,0.09,0.448,0.175,0.056,0.945,0.989,0.997,0.888,0.971,0.015,0.013,0.85,0.0,0.0
D311,0.429,0.322,0.19,0.053,0.975,0.894,0.114,0.129,0.085,0.118,0.458,0.227,0.099,0.99,0.995,0.998,0.931,0.977,0.015,0.013,0.85,0.0,0.0
D312,0.46,0.467,0.299,0.088,0.991,0.933,0.189,0.192,0.146,0.147,0.466,0.292,0.14,0.999,0.996,0.999,0.931,0.979,0.015,0.013,0.85,0.0,0.0
D313,0.425,0.41,0.228,0.019,0.927,0.799,0.105,0.184,0.134,0.115,0.455,0.222,0.11,0.971,0.994,0.995,0.838,0.955,0.015,0.013,0.85,0.0,0.0
D314,0.429,0.416,0.234,0.031,0.958,0.877,0.106,0.169,0.12,0.123,0.457,0.228,0.085,0.984,0.995,0.995,0.833,0.953,0.015,0.013,0.85,0.0,0.0
D315,0.444,0.478,0.282,0.06,0.975,0.879,0.138,0.208,0.157,0.143,0.463,0.279,0.131,0.993,0.996,0.993,0.782,0.944,0.015,0.013,0.85,0.0,0.0
D316,0.471,0.585,0.382,0.057,0.984,0.921,0.187,0.243,0.22,0.174,0.47,0.329,0.169,0.993,0.997,0.994,0.812,0.956,0.015,0.013,0.85,0.0,0.001
D317,0.474,0.782,0.483,0.015,0.965,0.857,0.19,0.292,0.242,0.117,0.454,0.229,0.128,0.936,0.991,0.998,0.9,0.976,0.015,0.013,0.85,0.0,0.0
D318,0.483,0.818,0.537,0.017,0.965,0.864,0.202,0.305,0.282,0.132,0.457,0.273,0.131,0.961,0.993,0.996,0.856,0.968,0.015,0.013,0.85,0.0,0.001
D319,0.49,0.836,0.568,0.021,0.948,0.859,0.214,0.314,0.261,0.147,0.463,0.296,0.163,0.979,0.996,0.997,0.86,0.973,0.015,0.013,0.85,0.0,0.0
D32,0.523,0.964,0.701,0.022,0.964,0.672,0.209,0.379,0.361,0.222,0.477,0.424,0.266,1.0,0.993,0.996,0.932,0.965,0.06,0.051,0.85,0.0,0.001
D320,0.507,0.845,0.591,0.056,0.986,0.922,0.227,0.327,0.316,0.166,0.468,0.322,0.191,0.991,0.997,0.998,0.898,0.981,0.015,0.013,0.85,0.001,0.002
D321,0.199,0.08,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.261,0.005,0.0,0.115,0.767,0.961,0.557,0.877,0.007,0.005,0.7,0.0,0.001
D322,0.256,0.083,0.041,0.032,0.541,0.433,0.007,0.007,0.005,0.009,0.296,0.017,0.004,0.154,0.906,0.96,0.547,0.878,0.007,0.005,0.7,0.0,0.0
D323,0.345,0.18,0.096,0.155,0.942,0.895,0.093,0.058,0.046,0.052,0.378,0.103,0.039,0.481,0.986,0.957,0.537,0.867,0.007,0.005,0.7,0.0,0.001
D324,0.391,0.28,0.16,0.262,0.981,0.944,0.169,0.105,0.099,0.099,0.409,0.194,0.094,0.657,0.993,0.971,0.582,0.893,0.007,0.005,0.7,0.001,0.002
D325,0.206,0.076,0.039,0.002,0.028,0.0,0.002,0.006,0.001,0.008,0.254,0.015,0.004,0.09,0.81,0.979,0.593,0.918,0.007,0.005,0.7,0.0,0.0
D326,0.289,0.089,0.046,0.106,0.809,0.731,0.016,0.012,0.007,0.013,0.282,0.022,0.009,0.148,0.892,0.975,0.582,0.914,0.007,0.005,0.7,0.0,0.0
D327,0.353,0.169,0.092,0.282,0.964,0.916,0.129,0.049,0.048,0.039,0.369,0.087,0.049,0.386,0.984,0.978,0.593,0.917,0.007,0.005,0.7,0.0,0.001
D328,0.397,0.292,0.169,0.29,0.974,0.928,0.234,0.107,0.093,0.089,0.403,0.182,0.101,0.62,0.993,0.983,0.627,0.931,0.007,0.005,0.7,0.001,0.002
D329,0.275,0.15,0.072,0.048,0.503,0.411,0.022,0.037,0.016,0.03,0.34,0.061,0.015,0.269,0.964,0.964,0.548,0.887,0.007,0.005,0.7,0.0,0.0
D33,0.318,0.323,0.183,0.034,0.63,0.197,0.064,0.143,0.066,0.072,0.379,0.122,0.087,0.516,0.931,0.957,0.565,0.873,0.03,0.024,0.8,0.001,0.001
D330,0.311,0.154,0.072,0.089,0.875,0.73,0.024,0.037,0.013,0.029,0.335,0.057,0.015,0.265,0.956,0.973,0.592,0.906,0.007,0.005,0.7,0.0,0.0
D331,0.361,0.22,0.114,0.171,0.978,0.924,0.091,0.074,0.06,0.059,0.381,0.114,0.057,0.495,0.987,0.977,0.606,0.911,0.007,0.005,0.7,0.0,0.001
D332,0.407,0.353,0.201,0.259,0.985,0.927,0.19,0.131,0.111,0.11,0.415,0.211,0.119,0.728,0.995,0.978,0.613,0.916,0.007,0.005,0.7,0.0,0.001
D333,0.341,0.628,0.227,0.055,0.828,0.651,0.093,0.154,0.107,0.017,0.293,0.031,0.051,0.258,0.919,0.978,0.568,0.931,0.007,0.005,0.7,0.0,0.001
D334,0.341,0.604,0.227,0.072,0.862,0.688,0.095,0.146,0.107,0.02,0.295,0.038,0.048,0.251,0.923,0.968,0.517,0.917,0.007,0.005,0.7,0.001,0.002
D335,0.388,0.649,0.279,0.11,0.978,0.905,0.133,0.173,0.131,0.052,0.374,0.102,0.083,0.469,0.987,0.966,0.514,0.919,0.007,0.005,0.7,0.0,0.0
D336,0.43,0.744,0.387,0.194,0.985,0.948,0.188,0.214,0.197,0.085,0.403,0.173,0.143,0.638,0.992,0.974,0.55,0.923,0.007,0.005,0.7,0.0,0.001
D337,0.247,0.076,0.037,0.0,0.004,0.0,0.0,0.001,0.0,0.007,0.385,0.013,0.001,0.404,0.881,0.993,0.814,0.948,0.015,0.013,0.85,0.0,0.0
D338,0.338,0.092,0.046,0.047,0.821,0.748,0.015,0.011,0.006,0.015,0.399,0.03,0.007,0.6,0.943,0.994,0.824,0.958,0.015,0.013,0.85,0.0,0.0
D339,0.392,0.19,0.1,0.037,0.96,0.892,0.106,0.063,0.047,0.057,0.435,0.111,0.054,0.934,0.986,0.995,0.819,0.952,0.015,0.013,0.85,0.0,0.001
D34,0.33,0.325,0.176,0.053,0.666,0.206,0.069,0.122,0.078,0.084,0.382,0.146,0.051,0.537,0.932,0.978,0.686,0.917,0.03,0.024,0.8,0.002,0.005
D340,0.425,0.299,0.17,0.066,0.992,0.908,0.18,0.112,0.107,0.091,0.452,0.176,0.097,0.984,0.994,0.996,0.874,0.962,0.015,0.013,0.85,0.001,0.001
D341,0.248,0.075,0.039,0.001,0.051,0.0,0.0,0.003,0.001,0.009,0.368,0.016,0.003,0.355,0.871,0.997,0.87,0.97,0.015,0.012,0.8,0.0,0.001
D342,0.334,0.092,0.048,0.038,0.86,0.71,0.023,0.013,0.008,0.013,0.388,0.028,0.008,0.56,0.931,0.996,0.845,0.969,0.015,0.012,0.8,0.0,0.0
D343,0.395,0.169,0.091,0.071,0.979,0.898,0.127,0.052,0.04,0.051,0.432,0.101,0.051,0.95,0.988,0.998,0.89,0.973,0.015,0.012,0.8,0.0,0.0
D344,0.431,0.305,0.177,0.107,0.994,0.937,0.236,0.108,0.098,0.104,0.451,0.204,0.092,0.984,0.994,0.998,0.887,0.974,0.015,0.012,0.8,0.0,0.0
D345,0.318,0.15,0.07,0.011,0.493,0.365,0.016,0.028,0.017,0.034,0.413,0.06,0.013,0.732,0.965,0.995,0.851,0.957,0.015,0.012,0.8,0.0,0.0
D346,0.373,0.163,0.077,0.038,0.958,0.878,0.03,0.037,0.023,0.039,0.421,0.074,0.019,0.84,0.98,0.996,0.844,0.959,0.015,0.012,0.8,0.0,0.0
D347,0.397,0.25,0.129,0.074,0.976,0.881,0.111,0.079,0.063,0.075,0.442,0.149,0.052,0.958,0.991,0.991,0.758,0.936,0.015,0.012,0.8,0.0,0.0
D348,0.429,0.366,0.208,0.065,0.984,0.923,0.187,0.123,0.12,0.123,0.457,0.243,0.107,0.987,0.995,0.992,0.78,0.949,0.015,0.012,0.8,0.0,0.001
D349,0.383,0.615,0.217,0.011,0.84,0.602,0.086,0.151,0.094,0.028,0.394,0.057,0.054,0.718,0.936,0.996,0.83,0.971,0.015,0.012,0.8,0.0,0.0
D35,0.397,0.45,0.26,0.167,0.937,0.809,0.122,0.161,0.107,0.101,0.406,0.206,0.101,0.681,0.971,0.952,0.573,0.873,0.03,0.024,0.8,0.0,0.001
D350,0.393,0.657,0.238,0.014,0.853,0.705,0.098,0.16,0.127,0.034,0.401,0.066,0.048,0.73,0.948,0.994,0.785,0.966,0.015,0.012,0.8,0.0,0.001
D351,0.431,0.707,0.289,0.022,0.948,0.832,0.131,0.184,0.149,0.066,0.438,0.134,0.089,0.939,0.99,0.994,0.797,0.954,0.015,0.012,0.8,0.0,0.0
